molecule	VIP
579	0.9533831216897024
317	0.9527258872957389
419	0.9520861184731068
784	0.9514948659851166
600	0.9514170113508755
546	0.949090001729997
167	0.9462783543600828
681	0.9455998741900021
2	0.942960108500189
369	0.9425877872731948
205	0.9423231107607525
132	0.9409536912778934
950	0.9407633717074162
815	0.9402872211712314
198	0.9373688056621016
920	0.9363426954170777
988	0.936146700593028
857	0.9360420214680925
856	0.9360080472427189
902	0.9359918960674404
993	0.9359264599613047
903	0.9357934128479024
985	0.9357817411428277
938	0.9357652411203344
897	0.9355609659721705
896	0.9354112501159023
909	0.9352007398838923
946	0.9351534525679654
900	0.9351063001524177
899	0.9350937708949819
863	0.9349701173238038
924	0.9348917677892894
921	0.9348366423450075
144	0.9348082804192284
997	0.9346062838137029
973	0.9344269210514398
964	0.9342731733657674
967	0.9342207312126132
895	0.93420994779746
948	0.9341486344289753
862	0.9340767062148891
788	0.9340595452869902
937	0.9336215887541082
963	0.9335983027643652
943	0.9329549930376211
945	0.9327061865217774
859	0.9326505296119417
249	0.9326106907735003
917	0.9321456218114695
116	0.932141111901133
965	0.9320124675672614
956	0.9319641003046215
960	0.9318359508526332
944	0.9316435553336654
795	0.9316087808665717
860	0.9311378696179269
966	0.9303172666573961
894	0.9300188223200417
959	0.9295315561638329
910	0.9293751035253539
173	0.9290394850894605
915	0.9290051892272368
85	0.9290012501369369
263	0.9287773879898109
848	0.9285422856391407
380	0.9284539525958322
12	0.9279174348628587
842	0.927255916302081
858	0.9264735189956436
932	0.9256693116562463
758	0.9247775041215817
269	0.924672487567053
72	0.9243121294709005
935	0.92427344336393
933	0.9242525246428026
718	0.924005130906682
141	0.9233891802368648
147	0.9233608430367589
847	0.9216409925671771
722	0.9204871965521364
125	0.9199248565470153
297	0.9197613878536082
303	0.9192115031105735
299	0.9172372613001383
834	0.9168565150380874
189	0.9158620182334871
187	0.9157552922797725
962	0.91262419621623
405	0.9122209143825503
127	0.9102356397668279
800	0.9080129864822712
975	0.9031175600722431
475	0.9018836300633921
713	0.9015569758665978
977	0.9006755200425476
970	0.8994455931755149
119	0.8987976369168189
225	0.8961606935515961
23	0.8939237231967198
913	0.8934172392310337
939	0.8931239303170854
11	0.8930749976637923
736	0.8930562266989766
213	0.8924629468499448
107	0.8924233588441052
974	0.8923722483170957
466	0.8922698881838902
151	0.8918306271415887
617	0.8916556246129593
835	0.8905842323551486
801	0.8869279686935689
128	0.8849824838937806
677	0.8849465494172718
831	0.883818375385086
122	0.8822524823089886
150	0.882062903054157
807	0.8819194103764466
779	0.8805020610408425
785	0.8727988519203941
971	0.8686257949509018
645	0.8646381054802681
797	0.8626601476205765
207	0.8625096161019696
805	0.8610527336071961
643	0.8581213730781582
211	0.8514056842399966
806	0.849975160623632
776	0.847299960072767
232	0.8427516406077173
969	0.8400908003763226
873	0.8371078969180209
994	0.8222374788699626
799	0.8188326911406127
972	0.8187203020600394
227	0.8135847061705669
833	0.8122811134351492
287	0.8091296293290151
326	0.8034706351384359
206	0.7973404071025474
424	0.7966954204997019
978	0.7878766255612505
215	0.7857594128876161
136	0.7857305385841183
813	0.7857040262713957
177	0.7852607334996781
111	0.7848531177552458
817	0.7754889442740142
361	0.7752542533637289
200	0.7730897733959161
